empresa_id,periodo_star,incidencia_id,interrupcion_id,bloque_reposicion_id,causa_id,calificacion_interrupcion_id,fh_inicio_interrupcion,fh_termino_bloque,duracion,clientes_int,alimentador_id,comuna_id,nivel_tension,Horas_interrupcion,clientes_comuna,clientes_empresa,SAIFI_COMUNA,SAIDI_COMUNA,SAIFI_EMPRESA,SAIDI_EMPRESA,tipo_interrupcion,year,nombre_comuna
006,012026,1008972,006307202601010057,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010058,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010059,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010060,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010061,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010062,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010063,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010064,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010065,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010066,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010067,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010068,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010069,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010070,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010071,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010072,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
